language,steady_energy_per_token_J,steady_energy_J,steady_state_duration,total_output_tokens,total_input_tokens,completed,duration,whole_gpu_energy_J
acm_Arab,2.7436955576088438,210669.17599987984,201.32645082473755,146194,953501,900,1771.725427865982,1731341.4110000134
afr_Latn,2.1634172142399373,289733.48699986935,274.88929986953735,172944,773285,900,396.87520956993103,408276.387999773
als_Latn,2.466456858753461,338084.6409999132,318.6087369918823,178381,1023034,900,463.9645519256592,479822.3240002394
amh_Ethi,4.039801830475221,1306084.090999961,1313.8161706924438,706672,3140216,900,3716.4251008033752,3669710.404000044
apc_Arab,2.3520319709709105,233356.85199987888,224.0731644630432,143502,741142,900,1689.6978511810303,1649080.4609997272
arb_Arab,2.370172768945975,161318.69900000095,163.45661878585815,148720,720680,900,1856.6694509983063,1790727.6290000677
ars_Arab,2.5134885076441202,182841.2080000639,178.85867762565613,94514,725522,900,296.7759757041931,293460.10799992085
ary_Arab,9.391492423479741,92346.5450000763,98.86686515808105,86952,1229457,900,1646.7087059020996,1579668.5620000362
arz_Arab,2.5449990557889994,218325.28899991512,209.6163351535797,116398,729097,900,815.2053723335266,802930.4170000553
asm_Beng,4.236169710099258,739101.4739998579,734.5185828208923,369139,2644948,900,2383.434446811676,2359522.2440000772
azj_Latn,3.159149100737846,252412.85399985313,238.77665328979492,208012,1035927,900,2024.709144115448,1996335.5429998636
bam_Latn,2.8193660454753804,438433.9749997854,419.44687843322754,342928,1180458,900,2633.016620159149,2605232.7589999437
ben_Beng,3.9058822339627772,756991.2239998579,734.4859516620636,390867,2585280,900,1551.5643563270569,1580421.4829996824
bul_Cyrl,2.6014800699400373,358567.2009999752,340.46089005470276,182825,955665,900,515.060252904892,529129.6530001163
cat_Latn,2.6112433499738237,257883.78200006485,246.46059036254883,127501,763190,900,361.59185814857483,367163.8819999695
ceb_Latn,3.0042059580094995,253425.80199980736,242.21366930007935,176121,891354,900,1861.137377500534,1821259.1180001497
ces_Latn,2.615423138856635,219258.76799976826,212.60447931289673,105779,736146,900,301.5326888561249,302241.91000008583
ckb_Arab,3.1166693091653657,466665.1289999485,454.1269266605377,268546,1810559,900,1183.59343957901,1180517.1459997892
dan_Latn,2.3929151885095243,299892.09599995613,286.20736384391785,158686,785413,900,403.4941861629486,411439.4760000706
deu_Latn,2.3022330935390176,258902.2270001173,250.00500917434692,146114,701496,900,367.29815793037415,370094.0199998617
ell_Grek,3.010923466058236,318426.23299992085,304.3433699607849,202291,958076,900,1883.8359348773956,1845932.3920000792
eng_Latn,1.6180310895892198,228213.57700002193,228.023188829422,169665,494730,900,316.61327385902405,311651.3289999962
est_Latn,2.9709294170828104,216812.48699986935,207.85540413856506,116389,825680,900,349.25785970687866,353181.57799994946
eus_Latn,2.6606891109598307,267045.3839997053,256.89928460121155,130156,840232,900,392.85435605049133,396445.6449998617
fin_Latn,3.2694768225127313,212581.3829997778,206.41631484031677,104531,830376,900,463.4075493812561,459798.6780000925
fra_Latn,2.3354016846592898,276700.7270001173,265.2610414028168,156950,722357,900,390.28899669647217,396030.0230002403
fuv_Latn,11.975767824601995,9174348.311999798,9536.241682767868,1603294,623936,454,21601.287312746048,20806614.76699996
guj_Gujr,4.233481759651496,1125077.4119997025,1126.087013244629,614163,3352804,900,3260.516288995743,3218006.728000164
hat_Latn,2.389865445822823,298852.674000144,284.0866153240204,183516,823489,900,1769.6986966133118,1730907.674000144
hau_Latn,2.8685339889525716,252892.82500004768,240.7032516002655,224363,987430,900,2096.760138988495,2043228.1429997683
heb_Hebr,3.145973402029547,375534.845000267,364.0099046230316,208303,1597248,900,712.035787820816,719080.5449999571
hin_Deva,3.1577437543613907,339378.50999999046,322.5147314071655,208921,1099920,900,1922.1097085475922,1875877.159000039
hrv_Latn,2.6316136835720236,225513.50300002098,216.93052077293396,155918,802581,900,1722.6157681941986,1666610.2100001574
hun_Latn,3.3290736077639846,253046.21399974823,244.11901545524597,126833,952231,900,433.607852935791,436265.41499996185
hye_Armn,4.567500317516476,1215535.1569997072,1228.8571119308472,602875,3554450,900,3826.172659635544,3734747.87199986
ibo_Latn,8.110279625671076,3430194.1059998274,3573.1863973140717,840941,1106252,900,8740.049002170563,8387257.9340001345
