language,steady_energy_per_token_J,steady_energy_J,steady_state_duration,total_output_tokens,total_input_tokens,completed,duration,whole_gpu_energy_J
acm_Arab,0.20944240121119725,35273.24199998379,121.18393802642822,201132,1110576,900,157.81143474578857,45555.80200004578
afr_Latn,0.22261712941273565,24791.53399991989,84.64366436004639,137154,776094,900,120.60012340545654,34650.65499997139
als_Latn,0.24037760697514418,36997.47899997234,125.70656633377075,194653,1031264,900,175.52104234695435,51052.393000006676
amh_Ethi,0.30584944259368363,219891.98599994183,738.3119702339172,1188819,1713224,900,2562.079922437668,735218.0550000668
apc_Arab,0.21505143407007046,26370.25199997425,90.27551507949829,153782,744173,900,121.4206473827362,35130.2460000515
arb_Arab,0.22160076772009663,25400.987999916077,86.88286900520325,145541,713718,900,121.53456211090088,35090.28899991512
ars_Arab,0.21424880350055525,28247.204999923706,96.46186637878418,162584,707884,900,129.71915769577026,37409.25300002098
ary_Arab,0.21110918933153858,46369.28899991512,158.64334344863892,308736,1449718,900,841.2034163475037,226422.6740000248
arz_Arab,0.21504273330240478,27460.741999983788,93.83008646965027,158882,731631,900,128.21165704727173,37092.81700003147
asm_Beng,0.34661931399859147,189730.74699997902,636.1210165023804,744246,2366027,900,1276.9815526008606,366074.29299998283
azj_Latn,0.2263700379191271,56414.80900001526,192.07933950424194,310357,1072379,900,263.44402718544006,76658.6669999361
bam_Latn,0.9805816023879266,1865297.625,6638.088089466095,2944706,995502,900,11566.522053480148,3219951.218999982
ben_Beng,0.330198147943927,152720.9359999895,512.8750064373016,615662,2303472,900,736.4526464939117,216795.02199995518
bod_Tibt,1.3477336353533056,2628054.981999874,9223.19721031189,4422361,2062422,402,21600.689462661743,6161275.270999908
bul_Cyrl,0.23706995817721366,42230.45699989796,143.79005765914917,219616,1030079,900,199.35700297355652,56807.794999957085
cat_Latn,0.21561165384122616,21209.93400001526,73.23992085456848,119778,763915,900,106.33531761169434,29089.78500008583
ceb_Latn,0.2148832117544745,41417.01999998093,142.01744890213013,233838,896630,900,186.88700079917908,53463.10000002384
ces_Latn,0.22917492198431075,38555.24300003052,132.69376420974731,207801,975935,900,181.8715078830719,52077.99300003052
ckb_Arab,0.9464604424910967,13817.37599992752,46.42092704772949,215323,1627058,900,935.808411359787,250919.28200006485
dan_Latn,0.20254461952705607,30540.893000006676,105.4681658744812,204779,791738,900,754.0972423553467,192888.07799994946
deu_Latn,0.21338935662998704,23545.5949999094,80.85122632980347,134698,686571,900,113.94666266441345,32541.457000017166
ell_Grek,0.3328468324579739,119828.52100002766,402.6275746822357,473992,2019061,900,554.6004831790924,163592.8370000124
eng_Latn,0.19655355148886333,12673.773000001907,43.82538032531738,79686,495757,900,60.199357986450195,17220.06700003147
est_Latn,0.2524995964948082,35668.59800004959,120.4972152709961,206044,829651,900,410.9855833053589,121903.79600000381
eus_Latn,0.24656513625605836,33296.15600001812,112.73041868209839,195778,847860,900,297.1993715763092,88141.47300004959
fin_Latn,0.24404350870031744,28583.84000003338,96.92792272567749,172759,834273,900,1826.068368434906,532191.0350000858
fra_Latn,0.5148542760459625,36970.141000032425,124.92600226402283,151364,708853,900,10542.475682258606,2960849.394999981
fuv_Latn,1.1242018688674396,1550173.199000001,5510.582258939743,2723615,1158395,900,12787.861500263214,3619084.752999902
gaz_Latn,1.0683823765268607,2925711.718999982,10456.875920534134,3759856,1676076,900,14941.137045145035,4166555.3820000887
grn_Latn,1.1753125706839513,2416215.810000062,8674.251422166824,3302736,1309656,900,14845.498314380646,4120070.6919999123
guj_Gujr,0.40310159922587674,158722.46399998665,531.4730834960938,695967,3011400,900,1989.4905321598053,592436.0180000067
hat_Latn,0.24385763610319772,30087.399000048637,102.11019396781921,236652,829129,900,1361.5127210617065,380785.4120000601
hau_Latn,0.28378825570534477,95689.14300000668,321.5239534378052,746702,966400,900,2957.7454574108124,833234.9660000801
heb_Hebr,0.25740529059611866,45870.395000100136,157.09329509735107,294870,699303,900,1696.028729915619,479458.5160000324
hin_Deva,0.3647890592587516,86169.74199998379,288.953417301178,391787,1903807,900,489.5822784900665,144236.10699999332
hrv_Latn,0.3223294711696914,43982.50100004673,148.51370573043823,208039,826732,900,2165.8557119369507,628791.2009999752
