lang,bsz,ss_jpt,ss_dur,bench_jpt,out_tok,total_dur,ss_pct,jpt,used_metric
eng_Latn,16,0.33,401.0,0.34,332984.0,415.16449451446533,96.58822112641624,0.33,steady
eng_Latn,32,0.21,208.0,0.22,334278.0,217.8516707420349,95.47780803861697,0.21,steady
eng_Latn,64,0.15,127.0,0.16,337814.0,138.74620246887207,91.53403678092931,0.15,steady
eng_Latn,128,0.11,91.0,0.11,336100.0,102.81106662750244,88.51187229649562,0.11,steady
eng_Latn,256,0.11,76.0,0.1,334305.0,82.69669389724731,91.90210202892982,0.11,steady
eng_Latn,512,0.11,82.0,0.1,335008.0,95.54141330718994,85.82665585692054,0.11,steady
zho_Hans,16,0.3,668.0,0.3,726502.0,678.8478891849518,98.4020147432474,0.3,steady
zho_Hans,32,0.2,371.0,0.2,725928.0,379.53132152557373,97.75214296114456,0.2,steady
zho_Hans,64,0.14,221.0,0.14,726539.0,235.38076519966125,93.89042465408642,0.14,steady
zho_Hans,128,0.09,149.0,0.1,726825.0,164.94166111946106,90.33496994557663,0.09,steady
zho_Hans,256,0.09,126.0,0.09,731700.0,145.28470015525818,86.7262690877638,0.09,steady
zho_Hans,512,0.08,106.0,0.09,725935.0,134.7303023338318,78.6756937109482,0.08,steady
rus_Cyrl,16,0.42,1323.0,0.43,737791.0,1349.069093465805,98.06762354930001,0.42,steady
rus_Cyrl,32,0.25,730.0,0.25,738573.0,753.4194734096527,96.89157577734669,0.25,steady
rus_Cyrl,64,0.18,474.0,0.19,738076.0,510.7058367729187,92.81272424751243,0.18,steady
rus_Cyrl,128,0.13,363.0,0.14,736585.0,396.431747674942,91.56683392008385,0.13,steady
rus_Cyrl,256,0.14,346.0,0.13,733624.0,363.72998666763306,95.1255086692002,0.14,steady
rus_Cyrl,512,0.13,249.0,0.12,735233.0,277.2469756603241,89.81161991287813,0.13,steady
fra_Latn,16,0.42,936.0,0.42,519478.0,965.0743782520294,96.98734326522171,0.42,steady
fra_Latn,32,0.24,506.0,0.25,517065.0,532.4522461891174,95.03199650702157,0.24,steady
fra_Latn,64,0.18,342.0,0.18,514376.0,366.21122884750366,93.38872570245911,0.18,steady
fra_Latn,128,0.13,252.0,0.14,514548.0,288.9193923473358,87.22155960270341,0.13,steady
fra_Latn,256,0.14,263.0,0.13,516476.0,282.5938575267792,93.06642483376609,0.14,steady
fra_Latn,512,0.14,211.0,0.12,514650.0,249.01291275024414,84.73456162156118,0.14,steady
pbt_Arab,16,0.44,4140.0,0.45,2269714.0,4223.278699636459,98.02810315019873,0.44,steady
pbt_Arab,32,0.27,2372.0,0.27,2288842.0,2435.736175775528,97.38328902738267,0.27,steady
pbt_Arab,64,0.19,1489.0,0.2,2299703.0,1564.6949849128723,95.16231689608902,0.19,steady
pbt_Arab,128,0.16,1335.0,0.16,2317447.0,1432.4465281963348,93.1971961062285,0.16,steady
pbt_Arab,256,0.15,1185.0,0.16,2287002.0,1345.8056931495667,88.0513439668073,0.15,steady
pbt_Arab,512,0.16,1044.0,0.16,2326438.0,1338.0853023529053,78.02193164846949,0.16,steady
tir_Ethi,16,0.45,4313.0,0.45,2375189.0,4375.66023683548,98.5679821228351,0.45,steady
tir_Ethi,32,0.28,2493.0,0.28,2397148.0,2560.8050470352173,97.35219800844587,0.28,steady
tir_Ethi,64,0.21,1638.0,0.21,2424378.0,1707.151513338089,95.9493042768727,0.21,steady
tir_Ethi,128,0.17,1412.0,0.17,2401867.0,1523.0190041065216,92.71059626917454,0.17,steady
tir_Ethi,256,0.16,1255.0,0.17,2393217.0,1408.5734610557556,89.09723452118364,0.16,steady
tir_Ethi,512,0.17,1092.0,0.17,2441898.0,1403.6189057826996,77.79889509190305,0.17,steady
shn_Mymr,16,0.46,6171.0,0.46,3354822.0,6251.907446146011,98.70587581721341,0.46,steady
shn_Mymr,32,0.31,3683.0,0.31,3353960.0,3760.430414915085,97.94091616193799,0.31,steady
shn_Mymr,64,0.24,2577.0,0.24,3371614.0,2668.0288791656494,96.58815990049867,0.24,steady
shn_Mymr,128,0.2,2163.0,0.2,3375120.0,2292.0779178142548,94.3685196384011,0.2,steady
shn_Mymr,256,0.2,1954.0,0.2,3362863.0,2096.4573233127594,93.20485460263734,0.2,steady
shn_Mymr,512,0.21,1013.0,0.21,3358492.0,1661.741630077362,60.9601385477019,0.21,steady
bod_Tibt,16,0.46,5201.0,0.46,2832989.0,5275.305319070816,98.59144988628063,0.46,steady
bod_Tibt,32,0.31,3491.0,0.32,2887471.0,3568.081381559372,97.83969665160258,0.31,steady
bod_Tibt,64,0.24,2457.0,0.25,2835210.0,2547.387747526169,96.45174757498357,0.24,steady
bod_Tibt,128,0.19,1976.0,0.2,2890705.0,2114.3518257141113,93.45653717458381,0.19,steady
bod_Tibt,256,0.19,1699.0,0.2,2833189.0,1913.9615602493286,88.76876293057182,0.19,steady
bod_Tibt,512,0.2,1315.0,0.21,2805316.0,1738.135234117508,75.65579330009132,0.2,steady
